
2025/02/21 (04:16:46) | ===> btop++ v.1.4.0
2025/02/21 (04:16:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (04:20:48) | INFO: Logger set to INFO
2025/02/21 (04:20:49) | INFO: Logger set to DEBUG
2025/02/21 (04:20:52) | INFO: Logger set to INFO
2025/02/21 (04:20:56) | INFO: Logger set to INFO
2025/02/21 (04:20:56) | INFO: Logger set to DEBUG
2025/02/21 (04:20:57) | INFO: Logger set to INFO
2025/02/21 (04:25:56) | INFO: Quitting! Runtime: 00:09:10

2025/02/21 (04:25:58) | ===> btop++ v.1.4.0
2025/02/21 (04:25:58) | INFO: Logger set to INFO
2025/02/21 (04:25:58) | INFO: Running on /dev/pts/0
2025/02/21 (04:25:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (04:25:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (04:25:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (04:27:38) | INFO: Quitting! Runtime: 00:01:40

2025/02/21 (05:03:06) | ===> btop++ v.1.4.0
2025/02/21 (05:03:06) | INFO: Logger set to INFO
2025/02/21 (05:03:06) | INFO: Running on /dev/pts/3
2025/02/21 (05:03:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (05:03:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (05:03:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (05:03:44) | INFO: Quitting! Runtime: 00:00:38

2025/02/21 (06:17:54) | ===> btop++ v.1.4.0
2025/02/21 (06:17:54) | INFO: Logger set to INFO
2025/02/21 (06:17:54) | INFO: Running on /dev/pts/1
2025/02/21 (06:17:54) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (06:17:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (06:17:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (06:18:06) | INFO: Quitting! Runtime: 00:00:12

2025/02/21 (06:18:10) | ===> btop++ v.1.4.0
2025/02/21 (06:18:10) | INFO: Logger set to INFO
2025/02/21 (06:18:10) | INFO: Running on /dev/pts/0
2025/02/21 (06:18:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (06:18:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (06:18:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (06:18:13) | INFO: Quitting! Runtime: 00:00:03

2025/02/21 (06:18:16) | ===> btop++ v.1.4.0
2025/02/21 (06:18:16) | INFO: Logger set to INFO
2025/02/21 (06:18:16) | INFO: Running on /dev/pts/0
2025/02/21 (06:18:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (06:18:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (06:18:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (06:20:00) | INFO: Quitting! Runtime: 00:01:44

2025/02/21 (16:00:34) | ===> btop++ v.1.4.0
2025/02/21 (16:00:34) | INFO: Logger set to INFO
2025/02/21 (16:00:34) | INFO: Running on /dev/pts/1
2025/02/21 (16:00:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (16:00:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (16:00:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (16:02:48) | INFO: Quitting! Runtime: 00:02:14

2025/02/22 (01:48:19) | ===> btop++ v.1.4.0
2025/02/22 (01:48:19) | INFO: Logger set to INFO
2025/02/22 (01:48:19) | INFO: Running on /dev/pts/0
2025/02/22 (01:48:19) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/22 (01:48:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (01:48:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/22 (01:48:25) | INFO: Quitting! Runtime: 00:00:06

2025/02/22 (14:45:54) | ===> btop++ v.1.4.0
2025/02/22 (14:45:54) | INFO: Logger set to INFO
2025/02/22 (14:45:54) | INFO: Running on /dev/pts/0
2025/02/22 (14:45:54) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/22 (14:45:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (14:45:54) | WARNING: Intel GPU: Failed to initialize PMU
